City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Acari,PE,73.11,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
17,Panaba,MX,79.56,few clouds,21.2833,-88.2667,Hotel Don Fernando
19,Mar Del Plata,AR,75.13,thunderstorm,-38.0023,-57.5575,Gran Hotel Mar del Plata
23,Grand Gaube,MU,73.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
26,Puerto Baquerizo Moreno,EC,70.63,broken clouds,-0.9,-89.6,Hotel los Algarrobos
31,Banjarmasin,ID,77.14,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
32,East London,ZA,69.15,broken clouds,-33.0153,27.9116,Tu Casa
33,Rikitea,PF,74.21,broken clouds,-23.1203,-134.9692,People ThankYou
39,Vangaindrano,MG,70.02,overcast clouds,-23.35,47.6,Hotel Fanilo
41,Puri,IN,68.52,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
42,Kattivakkam,IN,77.09,few clouds,13.2167,80.3167,Euronova Freezer
46,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Carnarvon,AU,74.44,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Hilo,US,77.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Alize Plage
56,San Patricio,US,71.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
58,Boyolangu,ID,78.73,overcast clouds,-8.1181,111.8935,Yos ega cv
59,Maragogi,BR,78.98,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
62,Ahipara,NZ,73.38,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
64,Meulaboh,ID,74.57,overcast clouds,4.1363,96.1285,Kost Pria
68,Busselton,AU,68.36,clear sky,-33.65,115.3333,Observatory Guest House
70,Cururupu,BR,75.92,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
76,Hermanus,ZA,66.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
