City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Beyneu,KZ,45.3167,55.2,31.3,88,5,8.93,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,48.31,66,75,23.02,broken clouds
2,Conakry,GN,9.538,-13.6773,80.58,77,26,10.63,scattered clouds
3,Batagay-Alyta,RU,67.8006,130.4114,-33.3,89,57,3.56,broken clouds
4,Megion,RU,61.0296,76.1136,1.42,96,44,9.66,scattered clouds
5,Port Alfred,ZA,-33.5906,26.891,63.18,94,40,1.01,scattered clouds
6,Bud,US,39.447,-86.1758,50.36,98,100,13.71,moderate rain
7,Husavik,IS,66.0449,-17.3389,14.94,84,91,9.31,overcast clouds
8,Leningradskiy,RU,69.3833,178.4167,-26.59,95,59,4.85,broken clouds
9,Yuancheng,CN,36.652,107.7896,23.63,39,40,5.3,scattered clouds
10,Manhuacu,BR,-20.2581,-42.0336,62.51,92,99,2.57,overcast clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,70.56,95,89,7.2,overcast clouds
12,San Cristobal,VE,7.7669,-72.225,64.6,96,57,3.11,broken clouds
13,Tiksi,RU,71.6872,128.8694,-29.69,98,63,7.54,broken clouds
14,Acari,PE,-15.4311,-74.6158,73.11,83,88,5.14,overcast clouds
15,Saint-Augustin,CA,51.226,-58.6502,35.44,77,100,25.26,overcast clouds
16,Barrow,US,71.2906,-156.7887,6.82,72,100,20.71,overcast clouds
17,Panaba,MX,21.2833,-88.2667,79.56,66,15,14.58,few clouds
18,Jamestown,US,42.097,-79.2353,32.18,51,0,4.61,clear sky
19,Mar Del Plata,AR,-38.0023,-57.5575,75.13,58,75,18.41,thunderstorm
20,Turukhansk,RU,65.8167,87.9833,-3.66,97,100,14.61,light snow
21,Kapaa,US,22.0752,-159.319,80.92,71,75,9.22,broken clouds
22,Khuzhir,RU,53.1939,107.3397,5.43,77,100,17.6,overcast clouds
23,Grand Gaube,MU,-20.0064,57.6608,73.38,89,25,1.99,light rain
24,Komsomolskiy,UZ,40.4272,71.7189,29.12,93,100,2.3,fog
25,Mandla,IN,22.6,80.3833,62.38,43,42,3.56,scattered clouds
26,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.63,86,76,10.22,broken clouds
27,Ponta Delgada,PT,37.7333,-25.6667,56.12,62,20,11.5,few clouds
28,Verkhnevilyuysk,RU,63.4453,120.3167,-48.19,100,100,2.06,overcast clouds
29,Slyudyanka,RU,51.6594,103.7061,6.66,94,100,3.87,overcast clouds
30,New Norfolk,AU,-42.7826,147.0587,52.92,59,66,6.78,broken clouds
31,Banjarmasin,ID,-3.3244,114.591,77.14,83,74,2.89,broken clouds
32,East London,ZA,-33.0153,27.9116,69.15,90,61,8.61,broken clouds
33,Rikitea,PF,-23.1203,-134.9692,74.21,66,84,7.52,broken clouds
34,Lavrentiya,RU,65.5833,-171.0,11.1,91,100,10.54,overcast clouds
35,Anadyr,RU,64.75,177.4833,-7.01,83,40,13.42,mist
36,Yelets,RU,52.6237,38.5017,10.4,97,80,5.44,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,8.71,88,100,7.43,overcast clouds
38,Ribeira Grande,PT,38.5167,-28.7,56.77,67,82,5.99,broken clouds
39,Vangaindrano,MG,-23.35,47.6,70.02,93,98,2.13,overcast clouds
40,Vardo,NO,70.3705,31.1107,17.58,79,75,16.11,broken clouds
41,Puri,IN,19.8,85.85,68.52,67,31,4.92,scattered clouds
42,Kattivakkam,IN,13.2167,80.3167,77.09,76,11,5.26,few clouds
43,Katsuura,JP,35.1333,140.3,46.76,47,51,6.33,broken clouds
44,Upernavik,GL,72.7868,-56.1549,21.92,75,100,8.37,overcast clouds
45,Lerici,IT,44.0759,9.9112,50.36,93,98,2.64,overcast clouds
46,Mahebourg,MU,-20.4081,57.7,73.26,81,46,11.59,light rain
47,Mataura,NZ,-46.1927,168.8643,63.48,44,64,3.09,broken clouds
48,Carnarvon,AU,-24.8667,113.6333,74.44,60,0,20.87,clear sky
49,Ushuaia,AR,-54.8,-68.3,46.06,53,40,20.71,light rain
50,Kodiak,US,57.79,-152.4072,35.11,100,100,3.44,mist
51,Kavieng,PG,-2.5744,150.7967,82.8,74,89,6.06,light rain
52,Hilo,US,19.7297,-155.09,77.25,80,75,9.22,broken clouds
53,Saint-Pierre,RE,-21.3393,55.4781,75.9,73,0,2.3,clear sky
54,Pacific Grove,US,36.6177,-121.9166,57.24,73,0,8.99,clear sky
55,Bethel,US,41.3712,-73.414,33.03,64,0,8.05,clear sky
